,name,height,weight,position,games_played,games_started,min_per,field_goal,field_attmps,field_pct,two_pointer,two_pattamps,two_pct,three_ptrs,three_pattmp,three_pct,free_throws,free_attmps,free_pct,assists,steals,blocks,points,off_reb,def_reb,total_reb,turnovers,drafted,position_Center,position_Forward,position_Guard
0,Menghe a'Nyam,77,215,Forward,41,19,13.3,0.9,2.1,0.414,0.9,2.0,0.429,0.0,0.1,0.414,0.7,1.2,0.529,0.1,0.4,0.3,2.4,1.3,1.7,3.0,1.0,0,0,1,0
1,Jordan Aaberg,81,225,Forward,115,16,11.2,1.5,2.3,0.619,1.5,2.3,0.619,0.0,0.0,0.619,0.6,0.7,0.7879999999999999,0.2,0.2,0.8,3.5,0.7,1.6,2.3,0.6,0,0,1,0
2,Karl Aaker,77,210,Forward,92,29,16.4,1.4,4.0,0.34600000000000003,0.4,1.2,0.36,0.9,2.8,0.34600000000000003,0.4,0.6,0.611,0.6,0.4,0.2,4.1,0.6,1.4,2.0,0.8,0,0,1,0
3,Mike Aaman,80,210,Forward,107,55,19.0,3.1,6.5,0.473,3.1,6.5,0.474,0.0,0.0,0.473,1.8,2.8,0.6409999999999999,0.4,0.5,0.7,7.9,2.5,3.2,5.7,1.2,0,0,1,0
4,Carlton Aaron,81,322,Center,86,72,24.5,4.3,7.8,0.544,4.3,7.8,0.544,0.0,0.0,0.544,2.0,4.1,0.482,0.3,0.6,0.6,10.5,3.1,4.3,7.3,1.5,0,1,0,0
5,Jordan Aaron,70,160,Guard,63,60,34.3,4.6,12.3,0.373,2.4,6.0,0.402,2.1,6.2,0.373,3.3,3.9,0.838,3.3,1.2,0.1,14.6,0.4,2.9,3.3,3.0,0,0,0,1
6,Shaddean Aaron,77,195,Guard,105,42,24.7,3.9,8.4,0.459,3.0,5.9,0.516,0.8,2.6,0.459,2.0,2.7,0.745,1.2,0.9,0.6,10.6,1.3,1.9,4.0,1.2,0,0,0,1
7,Shaqquan Aaron,79,195,Guard,127,65,18.8,2.1,5.0,0.417,1.3,2.8,0.483,0.7,2.2,0.417,0.8,1.3,0.624,1.2,0.4,0.2,5.7,0.6,2.1,2.7,1.0,0,0,0,1
8,Troy Aaron,73,190,Guard,91,64,21.9,2.4,6.1,0.387,1.7,4.1,0.422,0.6,2.0,0.387,1.2,1.9,0.642,1.9,0.7,0.1,6.6,0.9,1.7,2.6,2.1,0,0,0,1
9,Joe Aase,80,220,Forward,24,0,6.3,0.3,1.0,0.333,0.2,0.5,0.385,0.1,0.5,0.333,0.0,0.1,0.5,0.2,0.1,0.1,0.8,0.1,0.8,1.0,0.2,0,0,1,0
11,Ronell Abaekobe,78,210,Guard,7,0,1.4,0.1,0.1,1.0,0.1,0.1,1.0,0.0,0.0,1.0,0.3,0.6,0.5,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0,0,0,1
12,Kwesi Abakah,80,212,Forward,109,11,7.6,0.3,0.8,0.422,0.3,0.8,0.422,0.0,0.0,0.422,0.3,0.6,0.429,0.3,0.1,0.2,0.9,0.5,0.8,1.3,0.3,0,0,1,0
13,Kevin Abanobi,78,215,Forward,58,22,14.1,1.1,3.0,0.382,0.9,1.8,0.49,0.3,1.2,0.382,0.8,1.3,0.6709999999999999,0.3,0.3,0.4,3.4,0.7,1.3,2.0,0.7,0,0,1,0
16,Ty Abbott,75,207,Guard,130,119,30.9,3.5,8.8,0.399,1.4,2.9,0.475,2.1,5.8,0.399,1.1,1.6,0.7,1.8,1.0,0.4,10.2,0.6,3.3,3.9,1.5,0,0,0,1
17,Huthifah Abdel Jawad,72,160,Guard,10,0,1.4,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.1,0.2,0.5,0.1,0.0,0.0,0.1,0.0,0.1,0.1,0.1,0,0,0,1
18,Mostafa Abdel Latif,80,230,Forward,56,18,15.2,1.5,3.0,0.482,1.5,3.0,0.482,0.0,0.0,0.482,0.5,0.8,0.5870000000000001,0.2,0.2,0.5,3.4,1.6,2.8,4.4,0.7,0,0,1,0
20,Akbar Abdul-Ahad,72,175,Guard,57,31,28.6,2.8,7.2,0.384,0.9,2.2,0.383,1.9,5.0,0.384,2.3,2.9,0.7979999999999999,3.6,1.1,0.0,9.7,0.2,2.2,2.4,2.1,0,0,0,1
21,Muhammad Abdul-Aleem,76,210,Guard,50,3,17.7,2.5,6.9,0.369,2.0,5.0,0.403,0.5,1.9,0.369,1.7,2.7,0.632,1.0,0.9,0.1,7.3,0.9,2.6,3.5,1.9,0,0,0,1
22,Musa Abdul-Aleem,77,220,Guard,55,23,20.7,3.4,8.4,0.4,1.7,3.4,0.487,1.7,5.0,0.4,1.6,2.1,0.779,0.6,0.8,0.1,10.0,0.6,2.6,3.2,1.2,0,0,0,1
23,Jalil Abdul-Bassit,76,187,Guard,52,19,15.5,2.1,5.0,0.421,0.8,2.1,0.411,1.3,3.0,0.421,0.7,0.9,0.7390000000000001,0.6,0.5,0.2,6.2,0.4,1.0,1.3,0.8,0,0,0,1
24,Ahmad Abdullah,72,175,Guard,85,52,25.8,2.2,5.8,0.382,1.4,3.7,0.395,0.8,2.1,0.382,1.3,1.7,0.764,2.3,0.6,0.0,6.5,0.4,2.0,2.4,1.5,0,0,0,1
25,Bilal Abdullah,77,200,Guard,116,80,28.8,3.3,7.6,0.431,1.9,3.9,0.49,1.4,3.7,0.431,2.9,3.8,0.764,2.5,1.1,0.4,10.8,0.9,2.7,3.6,3.0,0,0,0,1
26,Hasan Abdullah,72,195,Guard,102,90,26.9,3.1,8.3,0.377,1.9,4.4,0.4270000000000001,1.3,4.0,0.377,1.2,1.9,0.631,3.4,1.8,0.1,8.8,0.4,2.5,3.0,2.7,0,0,0,1
27,Mohammed Abdulsalam,81,255,Forward,32,1,5.3,0.4,0.8,0.5,0.4,0.8,0.5,0.0,0.0,0.5,0.1,0.2,0.429,0.1,0.2,0.0,0.8,0.7,0.7,1.3,0.1,0,0,1,0
28,Jordan Abdur-Ra'oof,79,205,Forward,68,26,11.5,1.0,2.9,0.335,0.6,1.5,0.39,0.4,1.4,0.335,0.3,0.6,0.513,0.4,0.4,0.2,2.6,0.4,1.3,1.7,0.4,0,0,1,0
29,Amir Abdur-Rahim,75,195,Guard,83,74,31.8,5.0,13.8,0.364,2.7,6.6,0.406,2.3,7.2,0.364,3.1,4.1,0.7509999999999999,2.1,1.4,0.1,15.4,0.7,2.6,3.3,2.2,0,0,0,1
30,Bilal Abdur-Rahim,79,200,Guard,26,1,12.0,1.8,3.3,0.535,1.7,3.0,0.5579999999999999,0.1,0.3,0.535,0.9,1.7,0.5579999999999999,0.9,0.5,0.0,4.6,0.9,1.7,2.6,0.8,0,0,0,1
31,Muhammad Abdur-Rahim,76,210,Guard,104,52,12.0,0.7,1.8,0.385,0.5,1.0,0.486,0.2,0.8,0.385,0.5,0.8,0.608,0.8,0.4,0.1,2.0,0.8,0.9,1.7,0.5,0,0,0,1
32,Muhammad-Ali Abdur-Rahkman,76,175,Guard,144,116,28.8,3.2,7.3,0.444,2.1,4.3,0.499,1.1,3.0,0.444,1.5,2.0,0.754,2.0,0.8,0.1,9.1,0.6,2.3,2.8,0.9,0,0,0,1
34,Martins Abele,85,295,Center,49,14,11.4,1.4,2.8,0.504,1.4,2.8,0.504,0.0,0.0,0.504,0.8,1.3,0.578,0.1,0.2,0.8,3.6,1.3,2.1,3.4,1.3,0,1,0,0
35,Remy Abell,76,195,Guard,139,68,18.5,1.8,4.0,0.452,1.2,2.4,0.486,0.6,1.6,0.452,1.3,1.7,0.754,1.0,0.4,0.0,5.5,0.4,1.1,1.5,0.8,0,0,0,1
36,Ray Abellard,70,156,Guard,60,45,29.0,4.5,10.0,0.446,1.7,3.5,0.476,2.8,6.5,0.446,3.0,3.8,0.789,3.0,1.4,0.0,14.7,0.4,2.2,2.6,2.9,0,0,0,1
38,Thomas Abercrombie,78,191,Guard,12,0,7.3,0.4,1.6,0.263,0.3,0.7,0.375,0.2,0.9,0.263,0.2,0.4,0.4,0.5,0.2,0.3,1.2,0.4,1.1,1.5,0.3,0,0,0,1
39,Todd Abernethy,73,190,Guard,122,101,29.0,3.1,7.2,0.431,1.8,3.8,0.475,1.3,3.4,0.431,1.0,1.5,0.696,3.5,0.9,0.1,8.5,0.4,2.1,2.5,1.6,0,0,0,1
40,Onyekawtuke Abiakam,79,195,Center,58,12,14.1,1.3,2.6,0.4970000000000001,1.3,2.6,0.4970000000000001,0.0,0.0,0.4970000000000001,0.4,0.8,0.468,0.3,0.3,1.1,2.9,1.1,2.2,3.2,0.7,0,1,0,0
41,Kazembe Abif,79,215,Forward,93,48,22.4,2.2,4.5,0.476,2.1,4.4,0.489,0.0,0.2,0.476,1.6,2.4,0.655,0.5,0.4,0.3,5.9,1.5,3.2,4.7,0.9,0,0,1,0
43,L.B. Abney,72,185,Guard,22,2,14.7,2.0,4.3,0.479,1.3,2.2,0.604,0.7,2.1,0.479,1.0,1.6,0.657,0.8,0.8,0.0,5.9,0.4,1.5,1.9,0.5,0,0,0,1
44,Wandji Aboubakar,79,245,Forward,21,0,9.6,0.4,0.8,0.529,0.4,0.8,0.529,0.0,0.0,0.529,0.2,0.5,0.5,0.1,0.1,0.3,1.1,0.5,0.8,1.3,0.4,0,0,1,0
45,Charles Abouo,77,215,Guard,141,60,17.9,2.1,4.9,0.433,1.5,3.2,0.477,0.6,1.7,0.433,1.6,2.2,0.725,1.2,0.7,0.2,6.5,1.3,2.8,4.0,1.1,0,0,0,1
46,Alfred Aboya,81,245,Forward,142,55,18.6,2.0,3.6,0.541,2.0,3.6,0.544,0.0,0.0,0.541,1.1,1.9,0.607,0.4,0.6,0.2,5.1,1.6,2.1,3.7,0.8,0,0,1,0
47,Dennard Abraham,81,245,Forward,58,56,32.8,4.8,10.4,0.463,4.3,8.3,0.516,0.5,2.1,0.463,1.4,2.8,0.522,0.9,0.5,0.4,11.6,1.7,4.6,6.3,1.4,0,0,1,0
48,Karon Abraham,69,150,Guard,58,44,26.9,3.9,9.3,0.419,1.4,3.6,0.396,2.5,5.7,0.419,3.4,4.1,0.851,1.4,0.9,0.2,13.7,0.6,1.7,2.3,1.9,0,0,0,1
49,Ryann Abraham,70,185,Guard,119,30,16.9,1.9,4.4,0.44,1.0,2.1,0.486,0.9,2.3,0.44,1.2,1.6,0.725,2.0,1.0,0.1,5.9,0.2,1.1,1.3,1.7,0,0,0,1
50,Trevan Abraham,69,173,Guard,30,11,9.4,0.4,1.5,0.239,0.3,0.8,0.333,0.1,0.7,0.239,0.3,0.3,0.9,1.2,0.2,0.0,1.1,0.1,0.6,0.7,0.5,0,0,0,1
51,Albert Abrahams,81,320,Center,59,15,15.5,2.7,5.2,0.516,2.7,5.2,0.516,0.0,0.0,0.516,1.1,1.9,0.57,0.4,0.3,0.5,6.4,1.5,2.6,4.1,1.1,0,1,0,0
52,Kale Abrahamson,80,221,Forward,118,54,18.0,2.0,5.3,0.376,0.9,2.0,0.44,1.1,3.3,0.376,1.0,1.6,0.62,0.5,0.2,0.1,6.1,0.5,1.8,2.3,0.8,0,0,1,0
53,Junior Abrahao,78,220,Forward,42,1,7.4,0.7,1.9,0.38,0.5,1.3,0.426,0.2,0.6,0.38,0.3,0.6,0.481,0.2,0.1,0.2,1.9,0.4,0.9,1.3,0.4,0,0,1,0
54,DeAndre Abram,80,205,Guard,72,42,24.2,3.1,8.4,0.371,1.8,4.1,0.443,1.3,4.3,0.371,1.1,1.4,0.738,0.6,0.4,0.5,8.6,0.9,3.6,4.5,1.0,0,0,0,1
55,Lester Abram,78,200,Forward,120,106,29.3,3.5,7.3,0.471,2.6,5.1,0.517,0.8,2.3,0.471,2.9,3.5,0.8290000000000001,1.5,1.0,0.3,10.6,1.0,3.0,4.0,1.7,0,0,1,0
56,Aleks Abrams,80,250,Forward,110,21,10.5,0.6,1.4,0.399,0.6,1.4,0.399,0.0,0.0,0.399,0.5,0.8,0.619,0.2,0.1,0.5,1.6,1.6,1.8,3.4,0.5,0,0,1,0
58,Jamar Abrams,78,205,Guard,124,88,24.5,3.2,6.9,0.459,1.8,3.3,0.535,1.4,3.6,0.459,1.2,1.5,0.7659999999999999,0.6,0.7,0.4,9.0,1.3,2.8,4.1,1.4,0,0,0,1
59,Tracy Abrams,74,185,Guard,138,115,26.1,2.9,7.5,0.383,2.0,4.7,0.425,0.9,2.8,0.383,2.0,2.7,0.737,2.7,1.0,0.1,8.6,0.5,2.5,3.1,1.8,0,0,0,1
60,Alex Abreu,71,175,Guard,96,74,26.4,2.7,6.5,0.415,1.4,3.2,0.429,1.3,3.3,0.415,2.0,2.5,0.7909999999999999,4.7,1.4,0.1,8.7,0.6,1.7,2.3,2.6,0,0,0,1
