,name,height,weight,position,games_played,games_started,min_per,field_goal,field_attmps,field_pct,two_pointer,two_pattamps,two_pct,three_ptrs,three_pattmp,three_pct,free_throws,free_attmps,free_pct,assists,steals,blocks,points,off_reb,def_reb,total_reb,turnovers,drafted,position_Center,position_Forward,position_Guard
77,Alex Acker,77,185,Guard,88,80,34.4,5.1,11.2,0.457,3.7,7.9,0.476,1.4,3.3,0.457,2.9,3.5,0.823,2.8,1.5,0.4,14.5,1.5,4.1,5.6,2.6,1,0,0,1
88,Quincy Acy,79,235,Forward,139,66,25.1,3.6,6.0,0.602,3.6,6.0,0.604,0.0,0.1,0.602,2.5,3.6,0.708,0.6,0.7,1.3,9.8,2.2,3.8,6.0,1.5,1,0,1,0
119,Hassan Adams,76,220,Guard,130,100,27.8,5.8,11.6,0.499,5.2,9.7,0.535,0.6,1.9,0.499,1.9,2.7,0.7040000000000001,2.0,1.8,0.7,14.0,2.5,3.0,5.4,2.0,1,0,0,1
128,Jordan Adams,77,220,Guard,69,63,30.2,5.4,11.6,0.467,4.0,7.3,0.5479999999999999,1.4,4.3,0.467,4.2,5.0,0.8390000000000001,2.1,2.4,0.2,16.4,1.3,3.3,4.6,1.4,1,0,0,1
147,Steven Adams,84,250,Center,32,32,23.4,3.1,5.5,0.5710000000000001,3.1,5.5,0.5710000000000001,0.0,0.0,0.5710000000000001,1.0,2.2,0.443,0.6,0.7,2.0,7.2,2.8,3.5,6.3,1.1,1,1,0,0
166,Bam Adebayo,82,260,Forward,38,38,30.1,4.5,7.5,0.599,4.5,7.5,0.599,0.0,0.0,0.599,4.1,6.2,0.653,0.8,0.7,1.5,13.0,3.1,4.9,8.0,1.7,1,0,1,0
207,Jeff Adrien,79,243,Forward,133,101,29.5,4.5,8.8,0.515,4.5,8.7,0.516,0.0,0.0,0.515,3.0,4.9,0.606,1.1,0.6,1.1,12.1,2.9,5.6,8.5,1.9,1,0,1,0
215,Arron Afflalo,77,215,Guard,104,103,32.7,5.0,10.9,0.457,3.0,5.5,0.539,2.0,5.4,0.457,2.8,3.6,0.7809999999999999,1.9,0.6,0.2,14.8,0.6,2.8,3.5,2.0,1,0,0,1
230,Maurice Ager,77,202,Guard,124,73,25.6,4.2,9.6,0.441,2.6,5.3,0.4920000000000001,1.6,4.3,0.441,2.5,3.2,0.775,1.5,0.5,0.3,12.5,0.8,2.6,3.4,1.7,1,0,0,1
252,Blake Ahearn,74,190,Guard,129,84,26.5,3.7,8.9,0.423,1.6,3.6,0.444,2.1,5.2,0.423,3.4,3.6,0.946,1.8,0.7,0.0,13.0,0.3,1.5,1.7,1.7,1,0,0,1
337,Josh Akognon,71,185,Guard,119,77,26.3,5.0,12.3,0.408,2.2,4.7,0.466,2.8,7.6,0.408,2.3,2.7,0.871,1.3,0.9,0.1,15.2,0.4,2.2,2.6,1.6,1,0,0,1
358,Solomon Alabi,85,251,Center,77,68,22.0,3.5,6.6,0.534,3.5,6.6,0.535,0.0,0.0,0.534,2.1,2.9,0.745,0.4,0.5,2.1,9.1,2.1,3.3,5.4,1.7,1,1,0,0
389,Cole Aldrich,83,245,Center,111,71,21.0,3.5,6.1,0.574,3.5,6.1,0.574,0.0,0.0,0.574,2.3,3.2,0.7290000000000001,0.6,0.5,2.3,9.4,2.3,5.5,7.7,1.2,1,1,0,0
394,LaMarcus Aldridge,83,240,Forward,53,53,30.2,5.2,8.9,0.586,5.2,8.9,0.586,0.0,0.0,0.586,3.0,4.7,0.649,0.6,1.3,1.8,13.5,3.4,4.8,8.2,1.6,1,0,1,0
403,Cliff Alexander,80,240,Forward,28,6,17.6,2.6,4.6,0.5660000000000001,2.6,4.6,0.5660000000000001,0.0,0.0,0.5660000000000001,1.9,2.8,0.6709999999999999,0.4,0.2,1.3,7.1,2.0,3.3,5.3,1.0,1,0,1,0
416,Joe Alexander,80,230,Guard,82,70,25.3,4.5,10.0,0.447,3.9,7.9,0.488,0.6,2.1,0.447,2.5,3.3,0.765,2.0,0.6,1.2,12.1,1.5,3.3,4.8,1.8,1,0,0,1
512,Jarrett Allen,83,235,Forward,33,33,32.2,5.4,9.6,0.5660000000000001,5.4,9.4,0.579,0.0,0.2,0.5660000000000001,2.5,4.5,0.564,0.8,0.6,1.5,13.4,3.0,5.4,8.4,2.5,1,0,1,0
529,Kadeem Allen,75,180,Guard,68,61,27.5,3.0,6.6,0.459,2.3,4.8,0.482,0.7,1.8,0.459,2.3,3.1,0.725,3.3,1.3,0.7,9.1,0.3,3.3,3.6,2.0,1,0,0,1
535,Lavoy Allen,81,225,Forward,135,130,32.2,4.4,8.2,0.534,4.2,7.7,0.5489999999999999,0.1,0.5,0.534,1.6,2.4,0.6709999999999999,2.1,0.5,1.6,10.5,3.0,5.5,8.5,1.4,1,0,1,0
566,Tony Allen,76,213,Guard,67,62,31.4,5.5,11.5,0.477,4.7,9.3,0.508,0.8,2.2,0.477,3.5,5.2,0.682,2.9,2.0,0.8,15.3,1.7,3.7,5.5,2.8,1,0,0,1
595,Lance Allred,83,250,Center,95,54,20.7,3.4,7.1,0.481,3.4,7.0,0.483,0.1,0.1,0.481,2.8,3.9,0.718,0.8,0.3,0.2,9.7,2.1,3.9,6.0,1.7,1,1,0,0
606,Morris Almond,78,225,Guard,121,56,27.1,5.2,10.5,0.4920000000000001,3.9,7.6,0.514,1.3,2.9,0.4920000000000001,3.5,4.2,0.8240000000000001,1.0,0.7,0.5,15.1,1.0,2.5,3.5,2.2,1,0,0,1
679,Al-Farouq Aminu,81,215,Forward,62,60,30.1,5.0,10.6,0.476,4.6,8.9,0.522,0.4,1.7,0.476,3.9,5.7,0.687,1.4,1.2,1.3,14.4,3.3,6.1,9.4,2.9,1,0,1,0
715,Alan Anderson,78,220,Forward,126,110,26.8,3.0,6.1,0.503,2.7,5.0,0.532,0.4,1.0,0.503,3.0,3.6,0.831,2.4,0.8,0.2,9.5,1.2,2.9,4.2,2.3,1,0,1,0
720,Antonio Anderson,78,214,Guard,150,133,29.8,2.9,6.9,0.418,2.0,3.9,0.501,0.9,3.0,0.418,1.8,2.8,0.648,3.6,1.4,0.3,8.5,1.0,3.0,4.0,1.6,1,0,0,1
766,James Anderson,82,240,Forward,87,1,6.3,0.7,1.4,0.463,0.7,1.4,0.463,0.0,0.0,0.463,0.3,0.7,0.39,0.2,0.1,0.4,1.6,0.5,0.7,1.3,0.2,1,0,1,0
767,James Anderson,79,215,Forward,49,2,13.5,0.8,1.8,0.466,0.8,1.8,0.466,0.0,0.0,0.466,0.8,1.3,0.6609999999999999,0.2,0.3,0.1,2.5,0.9,2.0,2.9,0.7,1,0,1,0
