,name,height,weight,position,games_played,games_started,min_per,field_goal,field_attmps,field_pct,two_pointer,two_pattamps,two_pct,three_ptrs,three_pattmp,three_pct,free_throws,free_attmps,free_pct,assists,steals,blocks,points,off_reb,def_reb,total_reb,turnovers
0,Menghe a'Nyam,6-5,215,Forward,41,19,13.3,0.9,2.1,.414,0.9,2.0,.429,0.0,0.1,.414,0.7,1.2,.529,0.1,0.4,0.3,2.4,1.3,1.7,3.0,1.0
1,Jordan Aaberg,6-9,225,Forward,115,16,11.2,1.5,2.3,.619,1.5,2.3,.619,0.0,0.0,.619,0.6,0.7,.788,0.2,0.2,0.8,3.5,0.7,1.6,2.3,0.6
2,Karl Aaker,6-5,210,Forward,92,29,16.4,1.4,4.0,.346,0.4,1.2,.360,0.9,2.8,.346,0.4,0.6,.611,0.6,0.4,0.2,4.1,0.6,1.4,2.0,0.8
3,Mike Aaman,6-8,210,Forward,107,55,19.0,3.1,6.5,.473,3.1,6.5,.474,0.0,0.0,.473,1.8,2.8,.641,0.4,0.5,0.7,7.9,2.5,3.2,5.7,1.2
4,Carlton Aaron,6-9,322,Center,86,72,24.5,4.3,7.8,.544,4.3,7.8,.544,0.0,0.0,.544,2.0,4.1,.482,0.3,0.6,0.6,10.5,3.1,4.3,7.3,1.5
5,Jordan Aaron,5-10,160,Guard,63,60,34.3,4.6,12.3,.373,2.4,6.0,.402,2.1,6.2,.373,3.3,3.9,.838,3.3,1.2,0.1,14.6,0.4,2.9,3.3,3.0
6,Shaddean Aaron,6-5,195,Guard,105,42,24.7,3.9,8.4,.459,3.0,5.9,.516,0.8,2.6,.459,2.0,2.7,.745,1.2,0.9,0.6,10.6,1.3,1.9,4.0,1.2
7,Shaqquan Aaron,6-7,195,Guard,127,65,18.8,2.1,5.0,.417,1.3,2.8,.483,0.7,2.2,.417,0.8,1.3,.624,1.2,0.4,0.2,5.7,0.6,2.1,2.7,1.0
8,Troy Aaron,6-1,190,Guard,91,64,21.9,2.4,6.1,.387,1.7,4.1,.422,0.6,2.0,.387,1.2,1.9,.642,1.9,0.7,0.1,6.6,0.9,1.7,2.6,2.1
9,Joe Aase,6-8,220,Forward,24,0,6.3,0.3,1.0,.333,0.2,0.5,.385,0.1,0.5,.333,0.0,0.1,.500,0.2,0.1,0.1,0.8,0.1,0.8,1.0,0.2
10,Brian Abadie,5-11,175,Guard,1,0,1.0,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Ronell Abaekobe,6-6,210,Guard,7,0,1.4,0.1,0.1,1.000,0.1,0.1,1.000,0.0,0.0,1.000,0.3,0.6,.500,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0
12,Kwesi Abakah,6-8,212,Forward,109,11,7.6,0.3,0.8,.422,0.3,0.8,.422,0.0,0.0,.422,0.3,0.6,.429,0.3,0.1,0.2,0.9,0.5,0.8,1.3,0.3
13,Kevin Abanobi,6-6,215,Forward,58,22,14.1,1.1,3.0,.382,0.9,1.8,.490,0.3,1.2,.382,0.8,1.3,.671,0.3,0.3,0.4,3.4,0.7,1.3,2.0,0.7
14,Malik Abbott,6-3,190,Guard,4,0,1.8,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.3,0.0,0.0,0.0,0.3,0.8,1.0,0.3
15,Matthew Abbott,6-6,220,Forward,3,0,1.7,0.0,0.3,.000,0.0,0.0,,0.0,0.3,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.0
16,Ty Abbott,6-3,207,Guard,130,119,30.9,3.5,8.8,.399,1.4,2.9,.475,2.1,5.8,.399,1.1,1.6,.700,1.8,1.0,0.4,10.2,0.6,3.3,3.9,1.5
17,Huthifah Abdel Jawad,6-0,160,Guard,10,0,1.4,0.0,0.2,.000,0.0,0.2,.000,0.0,0.0,.000,0.1,0.2,.500,0.1,0.0,0.0,0.1,0.0,0.1,0.1,0.1
18,Mostafa Abdel Latif,6-8,230,Forward,56,18,15.2,1.5,3.0,.482,1.5,3.0,.482,0.0,0.0,.482,0.5,0.8,.587,0.2,0.2,0.5,3.4,1.6,2.8,4.4,0.7
19,Salah Abdo,6-2,188,Guard,5,0,2.2,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.4,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Akbar Abdul-Ahad,6-0,175,Guard,57,31,28.6,2.8,7.2,.384,0.9,2.2,.383,1.9,5.0,.384,2.3,2.9,.798,3.6,1.1,0.0,9.7,0.2,2.2,2.4,2.1
21,Muhammad Abdul-Aleem,6-4,210,Guard,50,3,17.7,2.5,6.9,.369,2.0,5.0,.403,0.5,1.9,.369,1.7,2.7,.632,1.0,0.9,0.1,7.3,0.9,2.6,3.5,1.9
22,Musa Abdul-Aleem,6-5,220,Guard,55,23,20.7,3.4,8.4,.400,1.7,3.4,.487,1.7,5.0,.400,1.6,2.1,.779,0.6,0.8,0.1,10.0,0.6,2.6,3.2,1.2
23,Jalil Abdul-Bassit,6-4,187,Guard,52,19,15.5,2.1,5.0,.421,0.8,2.1,.411,1.3,3.0,.421,0.7,0.9,.739,0.6,0.5,0.2,6.2,0.4,1.0,1.3,0.8
24,Ahmad Abdullah,6-0,175,Guard,85,52,25.8,2.2,5.8,.382,1.4,3.7,.395,0.8,2.1,.382,1.3,1.7,.764,2.3,0.6,0.0,6.5,0.4,2.0,2.4,1.5
25,Bilal Abdullah,6-5,200,Guard,116,80,28.8,3.3,7.6,.431,1.9,3.9,.490,1.4,3.7,.431,2.9,3.8,.764,2.5,1.1,0.4,10.8,0.9,2.7,3.6,3.0
26,Hasan Abdullah,6-0,195,Guard,102,90,26.9,3.1,8.3,.377,1.9,4.4,.427,1.3,4.0,.377,1.2,1.9,.631,3.4,1.8,0.1,8.8,0.4,2.5,3.0,2.7
27,Mohammed Abdulsalam,6-9,255,Forward,32,1,5.3,0.4,0.8,.500,0.4,0.8,.500,0.0,0.0,.500,0.1,0.2,.429,0.1,0.2,0.0,0.8,0.7,0.7,1.3,0.1
